EMISSAO;FILIAL;ROMANEIO_PRODUTO;PRODUTO;DESC_PRODUTO;COR_PRODUTO;DESC_COR_PRODUTO;QTDE_TOTAL;TIPO_ENTRADA;TIPO_ROMANEIO;GRUPO_PRODUTO;SUBGRUPO_PRODUTO;LINHA;COLECAO
2025-01-02;NERD RDRRRJ MATRIZ       ;025111  ;28.45.207   ;TAG PARA ALÇA NERD                      ;06        ;PRETO                    ;14;1;TRANSFERENCIA ENTRE LOJAS;ALCAS                    ;TAG                      ;ELETRONICOS              ;105   
2025-01-02;NERD RDRRRJ MATRIZ       ;025111  ;28.48.197   ;CP BASIC IP13                           ;06        ;PRETO                    ;3;1;TRANSFERENCIA ENTRE LOJAS;CAPAS                    ;13                       ;ELETRONICOS              ;C6    
2025-01-02;NERD RDRRRJ MATRIZ       ;025111  ;N4.07.0008  ;CP BRACKET CAMERA IP14                  ;06        ;PRETO                    ;2;1;TRANSFERENCIA ENTRE LOJAS;CAPAS                    ;14                       ;ELETRONICOS              ;C6    
2025-01-02;NERD RDRRRJ MATRIZ       ;025111  ;N4.07.0008  ;CP BRACKET CAMERA IP14                  ;07        ;CINZA                    ;2;1;TRANSFERENCIA ENTRE LOJAS;CAPAS                    ;14                       ;ELETRONICOS              ;C6    
2025-01-02;NERD RDRRRJ MATRIZ       ;025111  ;N4.26.0055  ;CP BRACKET MAGSAFE IP14                 ;03        ;AZUL                     ;1;1;TRANSFERENCIA ENTRE LOJAS;CAPAS                    ;14                       ;ELETRONICOS              ;C6    
2025-01-02;NERD RDRRRJ MATRIZ       ;025111  ;N4.26.0055  ;CP BRACKET MAGSAFE IP14                 ;04        ;VERDE                    ;1;1;TRANSFERENCIA ENTRE LOJAS;CAPAS                    ;14                       ;ELETRONICOS              ;C6    
2025-01-02;NERD RDRRRJ MATRIZ       ;025111  ;N4.26.0055  ;CP BRACKET MAGSAFE IP14                 ;06        ;PRETO                    ;4;1;TRANSFERENCIA ENTRE LOJAS;CAPAS                    ;14                       ;ELETRONICOS              ;C6    
2025-01-02;NERD RDRRRJ MATRIZ       ;025111  ;N4.26.0055  ;CP BRACKET MAGSAFE IP14                 ;07        ;CINZA                    ;1;1;TRANSFERENCIA ENTRE LOJAS;CAPAS                    ;14                       ;ELETRONICOS              ;C6    
2025-01-02;NERD RDRRRJ MATRIZ       ;025111  ;N4.26.0055  ;CP BRACKET MAGSAFE IP14                 ;18        ;ROXO                     ;1;1;TRANSFERENCIA ENTRE LOJAS;CAPAS                    ;14                       ;ELETRONICOS              ;C6    
2025-01-02;NERD RDRRRJ MATRIZ       ;025111  ;X2.03.0017  ;ALÇA NERD CHEVRON                       ;03        ;AZUL                     ;5;1;TRANSFERENCIA ENTRE LOJAS;ALCAS                    ;UNIVERSAL                ;ELETRONICOS              ;105   
2025-01-02;NERD RDRRRJ MATRIZ       ;025111  ;X2.03.0017  ;ALÇA NERD CHEVRON                       ;09        ;MARROM                   ;6;1;TRANSFERENCIA ENTRE LOJAS;ALCAS                    ;UNIVERSAL                ;ELETRONICOS              ;105   
2025-01-02;NERD RDRRRJ MATRIZ       ;025111  ;X2.03.0019  ;ALÇA NERD MESCLA UNIVERSAL              ;04        ;VERDE                    ;4;1;TRANSFERENCIA ENTRE LOJAS;ALCAS                    ;UNIVERSAL                ;ELETRONICOS              ;105   
2025-01-02;NERD RDRRRJ MATRIZ       ;025111  ;X2.03.0019  ;ALÇA NERD MESCLA UNIVERSAL              ;42        ;NUDE                     ;2;1;TRANSFERENCIA ENTRE LOJAS;ALCAS                    ;UNIVERSAL                ;ELETRONICOS              ;105   
2025-01-02;NERD LEBLON              ;025112  ;28.79.112   ;LIBERATOR SUPORTE VEICULAR WIWU         ;01        ;BRANCO                   ;1;1;AJUSTE DE ESTOQUE        ;CARREGAMENTO;MAGSAFE;ELETRONICOS              ;104   
2025-01-02;NERD LEBLON              ;025112  ;N2.03.0006  ;CB IMENSO LIGHTNING/ USB 1M IMS 138     ;06        ;PRETO                    ;1;1;AJUSTE DE ESTOQUE        ;CARREGAMENTO             ;CABO LIGHTNING           ;ELETRONICOS              ;102   
2025-01-02;NERD LEBLON              ;025112  ;X2.03.0012  ;ALÇA BASIC III                          ;79        ;PTO / BCO                ;1;1;AJUSTE DE ESTOQUE        ;ALCAS                    ;UNIVERSAL                ;ELETRONICOS              ;C6    
2025-01-02;NERD LEBLON              ;025112  ;X2.03.0012  ;ALÇA BASIC III                          ;E2        ;VERDE MUSGO              ;2;1;AJUSTE DE ESTOQUE        ;ALCAS                    ;UNIVERSAL                ;ELETRONICOS              ;C6    
