EMISSAO;FILIAL;FILIAL_DESTINO;ROMANEIO_PRODUTO;PRODUTO;DESC_PRODUTO;COR_PRODUTO;DESC_COR_PRODUTO;QTDE_TOTAL;TIPO_ROMANEIO;GRUPO_PRODUTO;SUBGRUPO_PRODUTO;LINHA;COLECAO
2025-01-09;CIDADE DE SP - LLL       ;;013731  ;07.97.0130  ;DUAL TONE II 06/23                      ;06        ;PRETO                    ;1;TRANSFERENCIA ENTRE LOJAS;PASHMINA                 ;100% CASHMERE            ;INDIA                    ;H3    
2025-01-09;CIDADE DE SP - LLL       ;;013731  ;13.46.0259  ;GEOMETRICO CONCEITUAL 06/24             ;03        ;AZUL                     ;1;TRANSFERENCIA ENTRE LOJAS;LENÇO                    ;CETIM DE POLIESTER       ;LENÇOS                   ;R7    
2025-01-09;CIDADE DE SP - LLL       ;;013731  ;13.46.0274  ;POA CLASSICO 07/24                      ;13        ;OFF WHITE                ;1;TRANSFERENCIA ENTRE LOJAS;LENÇO                    ;CETIM DE POLIESTER       ;APROVEITAMENTO LENÇO     ;S6    
2025-01-09;CIDADE DE SP - LLL       ;;013731  ;28.74.80    ;ARGOLA AMARRAÇÃO 09/19*                 ;37        ;DOURADO                  ;1;TRANSFERENCIA ENTRE LOJAS;ACESSÓRIOS               ;ARGOLA                   ;ACESSÓRIOS               ;89    
2025-01-09;CIDADE DE SP - LLL       ;;013731  ;85.04.0086  ;PANTANAL 03/24                          ;04        ;VERDE                    ;1;TRANSFERENCIA ENTRE LOJAS;TWILLY                   ;CETIM DE SEDA            ;LENÇOS                   ;O8    
2025-01-22;CIDADE DE SP - LLL       ;;013874  ;13.46.0259  ;GEOMETRICO CONCEITUAL 06/24             ;40        ;MARINHO                  ;1;TRANSFERENCIA ENTRE LOJAS;LENÇO                    ;CETIM DE POLIESTER       ;LENÇOS                   ;R7    
2025-01-22;CIDADE DE SP - LLL       ;;013874  ;13.71.0374  ;ESCADARIA DE SANTORINI 05/24            ;10        ;MULTICOLOR               ;1;TRANSFERENCIA ENTRE LOJAS;LENÇO                    ;CETIM DE SEDA            ;DESCONTINUADO            ;R10   
2025-01-22;CIDADE DE SP - LLL       ;;013874  ;28.22.0025  ;PIPO OLHO GREGO 12/24                   ;13        ;OFF WHITE                ;2;TRANSFERENCIA ENTRE LOJAS;ACESSÓRIOS               ;PIPOCA                   ;ACESSÓRIOS               ;T5    
2025-01-22;CIDADE DE SP - LLL       ;;013874  ;28.L2.0010  ;C. MARBLE FLOWERS CANTIGA 07/24         ;04        ;VERDE                    ;1;TRANSFERENCIA ENTRE LOJAS;ACESSÓRIOS               ;ALGODÃO/POLIESTER        ;ACESSÓRIOS               ;A3    
2025-01-22;CIDADE DE SP - LLL       ;;013874  ;45.14.0052  ;AMAZONIA INDÍGENA 05/23                 ;40        ;MARINHO                  ;1;TRANSFERENCIA ENTRE LOJAS;ECHARPE                  ;MOUSSELINE DE POLIESTER  ;LENÇOS                   ;O8    
2025-01-22;CIDADE DE SP - LLL       ;;013874  ;45.14.0070  ;TRAMAS 06/24                            ;03        ;AZUL                     ;1;TRANSFERENCIA ENTRE LOJAS;ECHARPE                  ;MOUSSELINE DE POLIESTER  ;LENÇOS                   ;R7    
