filial;codigo_filial;produto;data_venda;cor_produto;total_custo;total_venda;total_desconto;total_qtde_venda;ve1;ve2;ve3;ve4;ve5;ve6;ve7;ve8;ve9;ve10;ve11;ve12;ve13;ve14;ve15;ve16;ve17;ve18;ve19;ve20;ve21;ve22;ve23;ve24;ve25;ve26;ve27;ve28;ve29;ve30;ve31;ve32;ve33;ve34;ve35;ve36;ve37;ve38;ve39;ve40;ve41;ve42;ve43;ve44;ve45;ve46;ve47;ve48;clifor;filial_propria;matriz;regiao;tabela_operacoes;tabela_medidas;tipo_produto;desc_produto;grupo_produto;subgrupo_produto;colecao;grade;linha;griffe;cartela;unidade;revenda;refer_fabricante;modelagem;fabricante;estilista;modelista;periodo_pcp;cor_fabricante;desc_cor_produto;tinturaria_lavagem;margem;preco_medio;porcentagem_valor;porcentagem_qtde;cor;material;cor_material;etiqueta;tipo_lavagem_tinturaria;qtde_troca;valor_troca;desconto_troca;custo_troca;qtde_liquida;valor_liquido;empresa;custo_rep_unitario;custo_rep_total;desc_produto_segmento;desc_produto_solucao;desc_sexo_tipo
GUARULHOS - RSR;000079;07.A1.00B3;15/05/2026;104;66,58;488,00192;-40,00192;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;LISO;PASHMINA LISA TOQUE DE LA 06/24;PASHMINA;100% ACRILICO;48;70X180;PASHMINA;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;VERDE BANDEIRA;FALSO;86,36;488;0,22;0,13;104;;;;;0;0;0;0;1;488;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;07.A5.01;16/05/2026;05;158,94;1598,00648;-100,00648;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;FUN;ZARI DUPLA FACE 08/21;PASHMINA;CASHMERE/SEDA;90;75X200;INDIA;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;VERMELHO;FALSO;90,05;1598,01;0,73;0,13;05;;;;;0;0;0;0;1;1598,01;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;07.A5.01;16/05/2026;31;158,94;1498;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;FUN;ZARI DUPLA FACE 08/21;PASHMINA;CASHMERE/SEDA;90;75X200;INDIA;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;MOSTARDA;FALSO;89,39;1498;0,69;0,13;31;;;;;0;0;0;0;1;1498;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;13.46.0067;16/05/2026;C6;33,32;378;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;BICHO;BRASIL ANIMAL PRINT 22;LENÇO;CETIM DE POLIESTER;M6;90X90;LENÇOS;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;AZUL/AMARELO;FALSO;91,19;378;0,17;0,13;C6;;;;;0;0;0;0;1;378;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;13.46.0068;16/05/2026;C6;10,47;148;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;ANIMAL PRINT;BRASIL ANIMAL PRINT 22;LENÇO;CETIM DE POLIESTER;M6;50X50;APROVEITAMENTO LENÇO;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;AZUL/AMARELO;FALSO;92,93;148;0,07;0,13;C6;;;;;0;0;0;0;1;148;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;13.46.0068;17/05/2026;C6;10,47;92,73384;55,26616;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;ANIMAL PRINT;BRASIL ANIMAL PRINT 22;LENÇO;CETIM DE POLIESTER;M6;50X50;APROVEITAMENTO LENÇO;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;AZUL/AMARELO;FALSO;88,71;92,73;0,04;0,13;C6;;;;;0;0;0;0;1;92,73;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;13.46.0117;16/05/2026;M3;33,32;321,00138;56,99862;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;FLORAL;FLOR FLAMINGO 02/23;LENÇO;CETIM DE POLIESTER;O3;90X90;LENÇOS;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;LAVANDA;FALSO;89,62;321;0,15;0,13;M3;;;;;0;0;0;0;1;321;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;13.46.0142;15/05/2026;10;33,32;378;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;INDIGENA;AMAZÔNIA INDÍGENA 05/23;LENÇO;CETIM DE POLIESTER;O8;90X90;LENÇOS;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;MULTICOLOR;FALSO;91,19;378;0,17;0,13;10;;;;;0;0;0;0;1;378;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;13.46.0147;16/05/2026;U9;33,32;367,99812;10,00188;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;FLORAL;RAMOS DE PURPURA 06/23;LENÇO;CETIM DE POLIESTER;O9;90X90;LENÇOS;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;PINK/ROXO;FALSO;90,95;368;0,17;0,13;U9;;;;;0;0;0;0;1;368;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;13.46.0168;17/05/2026;10;33,32;299,00178;78,99822;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;BICHO;PAVAO 07/23;LENÇO;CETIM DE POLIESTER;P3;90X90;LENÇOS;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;MULTICOLOR;FALSO;88,86;299;0,14;0,13;10;;;;;0;0;0;0;1;299;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;13.46.0178;15/05/2026;04;33,32;378;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;FOLHAGEM;FOLHAGEM AMAZONIA 08/23;LENÇO;CETIM DE POLIESTER;Q1;90X90;LENÇOS;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;VERDE;FALSO;91,19;378;0,17;0,13;04;;;;;0;0;0;0;1;378;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;13.46.0178;17/05/2026;04;33,32;299,00178;78,99822;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;FOLHAGEM;FOLHAGEM AMAZONIA 08/23;LENÇO;CETIM DE POLIESTER;Q1;90X90;LENÇOS;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;VERDE;FALSO;88,86;299;0,14;0,13;04;;;;;0;0;0;0;1;299;6;0;0;;;FEMININO
